loc_id,type,survey_date,benthicInvertivore,corallivore,detritivore,herbivore,omnivore,piscivore,planktivore
20,MPA,2020,73.58,19.08,23.83,158.5,27.5,9.83,41.08
20,OUT,2020,115.5,11,14,118.17,25.42,3.92,41.25
